date,device,post,impression,complete,complete_rate
2025-12-01,android,FALSE,1922,1765,0.9183142559833507
2025-12-02,android,FALSE,2008,1842,0.9173306772908366
2025-12-03,android,FALSE,2006,1857,0.9257228315054835
2025-12-04,android,FALSE,1968,1840,0.9349593495934959
2025-12-05,android,FALSE,1881,1765,0.9383306751727805
2025-12-06,android,FALSE,1971,1803,0.9147640791476408
2025-12-07,android,FALSE,1982,1837,0.9268415741675076
2025-12-08,android,FALSE,1975,1840,0.9316455696202531
2025-12-09,android,FALSE,1936,1801,0.9302685950413223
2025-12-10,android,FALSE,1914,1783,0.9315569487983281
2025-12-11,android,FALSE,1922,1780,0.9261186264308012
2025-12-12,android,FALSE,1936,1778,0.9183884297520661
2025-12-13,android,FALSE,1948,1807,0.9276180698151951
2025-12-14,android,FALSE,1949,1778,0.9122626988199076
2025-12-15,android,FALSE,1991,1853,0.9306880964339528
2025-12-16,android,FALSE,1986,1824,0.918429003021148
2025-12-17,android,FALSE,1976,1824,0.9230769230769231
2025-12-18,android,FALSE,1990,1846,0.9276381909547738
2025-12-19,android,FALSE,1984,1827,0.920866935483871
2025-12-20,android,FALSE,1953,1795,0.9190988223246288
2025-12-21,android,FALSE,1862,1705,0.9156820622986036
2025-12-22,android,FALSE,1972,1831,0.928498985801217
2025-12-23,android,FALSE,1997,1829,0.9158738107160741
2025-12-24,android,FALSE,1919,1765,0.9197498697238145
2025-12-25,android,FALSE,1928,1792,0.9294605809128631
2025-12-26,android,FALSE,1939,1793,0.9247034553893759
2025-12-27,android,FALSE,1945,1788,0.919280205655527
2025-12-28,android,FALSE,1921,1750,0.9109838625715773
2025-12-29,android,FALSE,1889,1718,0.9094759131815775
2025-12-30,android,FALSE,1993,1843,0.9247365780230807
2025-12-31,android,FALSE,1931,1771,0.9171413775245987
2026-01-01,android,FALSE,1998,1845,0.9234234234234234
2026-01-02,android,FALSE,1983,1840,0.9278870398386283
2026-01-03,android,FALSE,1942,1793,0.923274974253347
2026-01-04,android,FALSE,1930,1783,0.9238341968911917
2026-01-05,android,FALSE,1974,1839,0.9316109422492401
2026-01-06,android,FALSE,1919,1777,0.9260031266284523
2026-01-07,android,FALSE,1880,1734,0.9223404255319149
2026-01-08,android,FALSE,1983,1818,0.9167927382753404
2026-01-09,android,FALSE,1945,1801,0.9259640102827763
2026-01-10,android,FALSE,1961,1794,0.9148393676695563
2026-01-11,android,FALSE,1933,1782,0.9218830832902225
2026-01-12,android,FALSE,1965,1850,0.9414758269720102
2026-01-13,android,FALSE,1900,1753,0.9226315789473685
2026-01-14,android,FALSE,1961,1828,0.9321774604793472
2026-01-15,android,FALSE,1977,1801,0.9109762266059687
2026-01-16,android,FALSE,1942,1800,0.9268795056642637
2026-01-17,android,FALSE,1975,1815,0.9189873417721519
2026-01-18,android,FALSE,1944,1781,0.9161522633744856
2026-01-19,android,FALSE,1949,1813,0.9302206259620318
2026-01-20,android,FALSE,1908,1761,0.9229559748427673
2026-01-21,android,FALSE,1951,1803,0.9241414659149154
2026-01-22,android,FALSE,1917,1779,0.9280125195618153
2026-01-23,android,FALSE,1887,1751,0.9279279279279279
2026-01-24,android,FALSE,2014,1848,0.9175769612711023
2026-01-25,android,FALSE,1956,1801,0.9207566462167689
2026-01-26,android,FALSE,2045,1882,0.9202933985330073
2026-01-27,android,FALSE,1970,1806,0.916751269035533
2026-01-28,android,FALSE,1918,1768,0.921793534932221
2026-01-29,android,FALSE,1944,1806,0.9290123456790124
2026-01-30,android,FALSE,1894,1751,0.9244984160506864
2026-01-31,android,FALSE,1956,1785,0.9125766871165644
2026-02-01,android,FALSE,1944,1793,0.9223251028806584
2026-02-02,android,FALSE,1953,1788,0.9155145929339478
2026-02-03,android,FALSE,1923,1749,0.9095163806552262
2026-02-04,android,FALSE,2005,1863,0.9291770573566085
2026-02-05,android,FALSE,1984,1854,0.9344758064516129
2026-02-06,android,FALSE,1940,1789,0.9221649484536083
2026-02-07,android,FALSE,1976,1817,0.9195344129554656
2026-02-08,android,FALSE,1964,1804,0.9185336048879837
2026-02-09,android,FALSE,1996,1847,0.9253507014028056
2026-02-10,android,FALSE,1936,1798,0.9287190082644629
2026-02-11,android,FALSE,1978,1833,0.9266936299292214
2026-02-12,android,FALSE,2007,1853,0.9232685600398605
2026-02-13,android,FALSE,1911,1758,0.9199372056514914
2026-02-14,android,FALSE,2001,1817,0.9080459770114943
2026-02-15,android,FALSE,1980,1800,0.9090909090909091
2026-02-16,android,FALSE,2020,1858,0.9198019801980198
2026-02-17,android,FALSE,1974,1809,0.9164133738601824
2026-02-18,android,FALSE,1893,1756,0.9276281035393555
2026-02-19,android,FALSE,1960,1815,0.9260204081632653
2026-02-20,android,FALSE,1994,1850,0.9277833500501504
2026-02-21,android,FALSE,1984,1829,0.921875
2026-02-22,android,FALSE,1915,1750,0.9138381201044387
2026-02-23,android,FALSE,1909,1747,0.9151388161341016
2026-02-24,android,FALSE,1900,1753,0.9226315789473685
2026-02-25,android,FALSE,2028,1870,0.9220907297830375
2026-02-26,android,FALSE,1981,1827,0.9222614840989399
2026-02-27,android,FALSE,1990,1820,0.914572864321608
2026-02-28,android,FALSE,1966,1816,0.9237029501525941
2026-03-01,android,FALSE,2024,1858,0.9179841897233202
2026-03-02,android,FALSE,1921,1771,0.9219156689224363
2026-03-03,android,FALSE,1951,1793,0.9190158892875449
2026-03-04,android,FALSE,1951,1801,0.9231163505894413
2026-03-05,android,FALSE,1875,1720,0.9173333333333333
2026-03-06,android,FALSE,1932,1791,0.9270186335403726
2026-03-07,android,FALSE,1964,1806,0.9195519348268839
2026-03-08,android,FALSE,1971,1793,0.9096905124302385
2026-03-09,android,FALSE,1956,1817,0.9289366053169734
2026-03-10,android,FALSE,1944,1788,0.9197530864197531
2026-03-11,android,FALSE,2009,1832,0.9118964659034345
2026-03-12,android,FALSE,1940,1776,0.9154639175257732
2026-03-13,android,FALSE,1900,1749,0.9205263157894736
2026-03-14,android,FALSE,1981,1814,0.9156991418475517
2026-03-15,android,FALSE,1946,1804,0.9270298047276464
2026-03-16,android,FALSE,1895,1735,0.9155672823218998
2026-03-17,android,FALSE,1935,1790,0.9250645994832042
2026-03-18,android,FALSE,1928,1743,0.904045643153527
2026-03-19,android,FALSE,1973,1849,0.9371515458692347
2026-03-20,android,FALSE,1882,1750,0.9298618490967057
2026-03-21,android,FALSE,1907,1732,0.908232826428946
2026-03-22,android,FALSE,1936,1786,0.9225206611570248
2026-03-23,android,FALSE,1911,1763,0.9225536368393511
2026-03-24,android,FALSE,1947,1790,0.9193631227529533
2026-03-25,android,FALSE,1953,1789,0.916026625704045
2026-03-26,android,FALSE,1935,1798,0.9291989664082687
2026-03-27,android,FALSE,1929,1794,0.9300155520995335
2026-03-28,android,FALSE,1916,1752,0.9144050104384134
2026-03-29,android,FALSE,2042,1884,0.9226248775710089
2026-03-30,android,FALSE,1950,1817,0.9317948717948717
2026-03-31,android,FALSE,1893,1750,0.9244585314315901
2026-04-01,android,FALSE,2014,1849,0.9180734856007945
2026-04-02,android,FALSE,1892,1762,0.9312896405919662
2026-04-03,android,FALSE,1935,1797,0.9286821705426357
2026-04-04,android,FALSE,1989,1835,0.9225741578682756
2026-04-05,android,FALSE,1938,1771,0.913828689370485
2026-04-06,android,FALSE,1994,1819,0.9122367101303912
2026-04-07,android,FALSE,1922,1772,0.9219562955254943
2026-04-08,android,FALSE,1933,1777,0.9192964304190377
2026-04-09,android,FALSE,1968,1810,0.9197154471544715
2026-04-10,android,FALSE,1939,1801,0.9288292934502321
2026-04-11,android,FALSE,2024,1839,0.9085968379446641
2026-04-12,android,FALSE,1984,1784,0.8991935483870968
2026-04-13,android,FALSE,1981,1824,0.9207470974255426
2026-04-14,android,FALSE,1926,1778,0.9231568016614745
2026-04-15,android,FALSE,1887,1715,0.9088500264970854
2026-04-16,android,FALSE,1905,1749,0.9181102362204724
2026-04-17,android,FALSE,2051,1892,0.9224768405655778
2026-04-18,android,FALSE,1954,1785,0.913510747185261
2026-04-19,android,FALSE,1970,1806,0.916751269035533
